epoch_num,batch_num,avg_train_loss,train_acc,avg_val_loss,val_acc
3,1530,0.008652569283731282,0.94375,0.009730850220657885,0.948
3,1540,0.007885227468796075,0.9625,0.008105307596549392,0.956
3,1550,0.0073694456252269445,0.9625,0.01021816029883921,0.9432
3,1560,0.008784913131967187,0.95625,0.02005245129875839,0.8824
3,1570,0.009991305926814676,0.91875,0.011731001438573002,0.9256
3,1580,0.009822242252994329,0.94375,0.008456346595846117,0.957
3,1590,0.0047600093530490994,0.98125,0.012278447218984365,0.9164
3,1600,0.011081114877015352,0.94375,0.009290411088243127,0.9532
3,1610,0.007492594863288104,0.9625,0.012876853056438268,0.9276
3,1620,0.018833041028119623,0.8875,0.009078370415233076,0.9512
3,1630,0.01381871581543237,0.90625,0.014382313296198846,0.9026
3,1640,0.012727610999718308,0.9125,0.01264333210736513,0.9278
3,1650,0.01810829688911326,0.89375,0.010249314074777067,0.9448
3,1660,0.0076892147306352856,0.95,0.014274762788787485,0.9208
3,1670,0.008169422741048038,0.95,0.00931173532344401,0.9488
3,1680,0.007583548221737147,0.96875,0.010739233480393887,0.9372
3,1690,0.00959726752480492,0.94375,0.013919978296756744,0.9184
3,1700,0.013986691273748875,0.90625,0.012915333814173938,0.9168
3,1710,0.00803362177684903,0.95,0.010225609220843762,0.945
3,1720,0.0063208720413967965,0.9625,0.009085678694024681,0.9486
3,1730,0.006331776711158454,0.96875,0.009236689429730176,0.9444
3,1740,0.00850407441612333,0.95625,0.00901078222244978,0.944
3,1750,0.016364902211353182,0.90625,0.014154895139671862,0.9178
3,1760,0.02323913190048188,0.84375,0.010326554579986259,0.9434
3,1770,0.012523023888934403,0.9375,0.013227076142467558,0.9128
3,1780,0.01547644846723415,0.9125,0.008660872079245745,0.95
3,1790,0.015816672961227594,0.89375,0.01107637476027012,0.9368
3,1800,0.010527687892317773,0.95,0.012849610976874828,0.9172
3,1810,0.007036782032810151,0.9625,0.025436199805513024,0.8256
3,1820,0.013359179417602719,0.88125,0.009480500335618853,0.9442
3,1830,0.014321073051542043,0.9125,0.028287518717721106,0.829
3,1840,0.014871368301101029,0.90625,0.016710846692323686,0.9024
3,1850,0.007851527351886035,0.94375,0.015033088839426636,0.9088
3,1860,0.008073681057430804,0.9625,0.008751076671667397,0.951
3,1870,0.008156378753483295,0.94375,0.009068461700621993,0.9532
3,1880,0.00901552471332252,0.9625,0.021713497807085515,0.8408
3,1890,0.011587769701145589,0.93125,0.016368035323172807,0.8904
3,1900,0.01890484932810068,0.9,0.022276147547736765,0.8656
3,1910,0.03035523765720427,0.85,0.009128869688883424,0.9492
